  Iter      Objective      FeasError   OptError    ||Step||    CGits 
--------  --------------  ----------  ----------  ----------  -------
    1000    9.051927e+00   2.115e-02   2.342e-04   2.495e-01        0
    1010    9.037109e+00   1.042e-01   4.724e-03   5.980e-01        0
    1020    9.032049e+00   8.121e-03   6.318e-03   1.116e-01        0
    1030    9.027667e+00   2.800e-02   2.353e-03   7.862e-02        0
    1040    9.014389e+00   1.003e-01   1.107e-02   9.384e-01        0
    1050    9.006827e+00   2.507e-01   5.769e-03   2.636e-01        0
    1060    9.000509e+00   6.432e-03   2.556e-03   1.337e-01        0
    1070    8.997483e+00   4.623e-03   3.959e-04   3.292e-01        0
    1080    8.977798e+00   2.159e-01   6.253e-03   8.049e-01        0
    1090    8.963813e+00   4.259e-02   9.083e-03   3.348e+00        0
    1100    8.952104e+00   1.226e-02   9.534e-03   2.800e+00        3
    1110    8.942392e+00   6.637e-02   1.137e-02   1.932e-01        0
    1120    8.935897e+00   3.491e-02   1.313e-02   2.999e+00        0
    1130    8.930405e+00   9.968e-02   1.486e-02   1.158e+00        0
    1140    8.927268e+00   1.446e-03   9.297e-05   5.714e-01        0
    1150    8.926006e+00   5.725e-04   6.278e-05   3.849e-01        0
    1160    8.924263e+00   3.067e-01   1.223e-03   4.284e-01        0
    1170    8.921593e+00   1.808e-01   4.005e-03   5.937e-01        0
    1180    8.916390e+00   2.286e-01   6.250e-03   1.920e-01        0
    1190    8.912369e+00   1.852e-02   7.217e-03   8.404e-01        0
    1200    8.910219e+00   3.250e-03   9.423e-04   6.013e-01        0
    1210    8.909294e+00   1.842e-02   6.792e-04   5.403e-01        0
    1220    8.908868e+00   1.565e-03   2.675e-05   2.817e-01        0
    1230    8.907844e+00   4.955e-01   2.786e-03   1.197e+01        1
    1240    8.907206e+00   3.804e-03   5.028e-03   6.492e-01        0
    1250    8.905552e+00   6.063e-02   8.455e-03   6.461e+00        1
    1260    8.903232e+00   1.777e-01   1.127e-02   3.654e+00        0
    1270    8.901721e+00   8.378e-03   1.156e-02   9.865e-01        0
    1280    8.901043e+00   1.188e-02   5.082e-03   2.573e-01        0
    1290    8.894941e+00   8.405e-02   5.500e-03   5.223e+00        3
    1300    8.883760e+00   5.536e-02   1.139e-02   2.851e+00        0
    1310    8.875698e+00   5.839e-02   1.423e-02   2.335e+00        0
    1320    8.872572e+00   1.751e-02   3.069e-03   7.876e-02        0
    1330    8.853238e+00   4.252e-02   6.369e-03   3.487e+00        0
    1340    8.851456e+00   1.253e-02   2.821e-03   8.898e-01        0
    1350    8.850263e+00   1.427e-03   1.075e-04   2.772e-01        0
    1360    8.847566e+00   1.677e-02   2.489e-03   3.734e+00        0
    1370    8.844079e+00   1.389e-02   5.206e-03   9.748e-01        0
    1380    8.839996e+00   4.034e-02   2.893e-03   1.029e-01        0
    1390    8.838372e+00   4.876e-02   1.555e-03   2.073e+00        0
    1400    8.835324e+00   8.238e-01   4.144e-03   3.025e-02        0
    1410    8.830008e+00   1.217e-01   1.008e-02   2.230e+00        5
    1420    8.825465e+00   1.254e-01   1.245e-02   4.637e-01        0
    1430    8.822556e+00   4.925e-02   8.870e-03   6.522e-01        0
    1440    8.820494e+00   1.765e-02   4.839e-04   7.895e-01        0
    1450    8.818757e+00   1.051e-02   2.988e-03   1.920e+00        0
    1460    8.817979e+00   3.441e-01   1.449e-03   9.120e-02        0
    1470    8.817554e+00   7.141e-02   1.952e-03   3.306e-01        0
    1480    8.816192e+00   1.409e-01   2.002e-03   3.200e-01        0
    1490    8.813605e+00   2.055e-02   1.681e-03   6.013e-01        0
    1500    8.811308e+00   1.081e-01   1.931e-03   8.672e-01        0
    1510    8.810034e+00   2.300e-03   3.129e-03   7.761e-01        0
    1520    8.809032e+00   3.767e-03   1.915e-03   4.651e-01        0
    1530    8.808412e+00   9.482e-03   2.036e-03   2.083e+00        0
    1540    8.807604e+00   8.601e-03   1.146e-03   2.982e-01        0
    1550    8.807200e+00   5.407e-03   1.231e-04   4.677e-01        0
    1560    8.806677e+00   1.393e-04   4.669e-04   1.609e+00        0
    1570    8.804984e+00   1.099e-02   2.273e-02   8.445e-02        0
    1580    8.802078e+00   1.241e-02   3.068e-02   5.907e-01        0
    1590    8.801161e+00   3.900e-03   4.210e-03   1.334e-01        0
    1600    8.798302e+00   8.894e-02   3.376e-03   2.537e-01        0
    1610    8.781910e+00   1.243e-01   9.668e-03   1.042e+00        0
